"Name","DisplayName","Status","StartType","Time"
"AarSvc_94919","Agent Activation Runtime_94919","Stopped","Manual","04-22-2024 14:09:31"
"AJRouter","AllJoyn Router Service","Stopped","Manual","04-22-2024 14:09:31"
"ALG","Application Layer Gateway Service","Stopped","Manual","04-22-2024 14:09:31"
"AppIDSvc","Application Identity","Stopped","Manual","04-22-2024 14:09:31"
"Appinfo","Application Information","Running","Manual","04-22-2024 14:09:31"
"AppReadiness","App Readiness","Stopped","Manual","04-22-2024 14:09:31"
"AppXSvc","AppX Deployment Service (AppXSVC)","Stopped","Manual","04-22-2024 14:09:31"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Automatic","04-22-2024 14:09:31"
"Audiosrv","Windows Audio","Running","Automatic","04-22-2024 14:09:31"
"autotimesvc","Cellular Time","Stopped","Manual","04-22-2024 14:09:31"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual","04-22-2024 14:09:31"
"BcastDVRUserService_94919","GameDVR and Broadcast User Service_94919","Stopped","Manual","04-22-2024 14:09:31"
"BDESVC","BitLocker Drive Encryption Service","Stopped","Manual","04-22-2024 14:09:31"
"BFE","Base Filtering Engine","Running","Automatic","04-22-2024 14:09:31"
"BITS","Background Intelligent Transfer Service","Stopped","Manual","04-22-2024 14:09:31"
"BluetoothUserService_94919","Bluetooth User Support Service_94919","Running","Manual","04-22-2024 14:09:31"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic","04-22-2024 14:09:31"
"BTAGService","Bluetooth Audio Gateway Service","Running","Manual","04-22-2024 14:09:31"
"BthAvctpSvc","AVCTP service","Running","Manual","04-22-2024 14:09:31"
"bthserv","Bluetooth Support Service","Running","Manual","04-22-2024 14:09:31"
"camsvc","Capability Access Manager Service","Running","Manual","04-22-2024 14:09:31"
"CaptureService_94919","CaptureService_94919","Stopped","Manual","04-22-2024 14:09:31"
"cbdhsvc_94919","Clipboard User Service_94919","Running","Manual","04-22-2024 14:09:31"
"CDPSvc","Connected Devices Platform Service","Running","Automatic","04-22-2024 14:09:31"
"CDPUserSvc_94919","Connected Devices Platform User Service_94919","Running","Automatic","04-22-2024 14:09:31"
"CertPropSvc","Certificate Propagation","Stopped","Manual","04-22-2024 14:09:31"
"ClipSVC","Client License Service (ClipSVC)","Stopped","Manual","04-22-2024 14:09:31"
"COMSysApp","COM+ System Application","Stopped","Manual","04-22-2024 14:09:31"
"ConsentUxUserSvc_94919","ConsentUX_94919","Stopped","Manual","04-22-2024 14:09:31"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic","04-22-2024 14:09:31"
"cphs","Intel(R) Content Protection HECI Service","Running","Manual","04-22-2024 14:09:31"
"cplspcon","Intel(R) Content Protection HDCP Service","Running","Automatic","04-22-2024 14:09:31"
"CredentialEnrollmentManagerUserSvc_94919","CredentialEnrollmentManagerUserSvc_94919","Stopped","Manual","04-22-2024 14:09:31"
"CryptSvc","Cryptographic Services","Running","Automatic","04-22-2024 14:09:31"
"DcomLaunch","DCOM Server Process Launcher","Running","Automatic","04-22-2024 14:09:31"
"dcsvc","Declared Configuration(DC) service","Stopped","Manual","04-22-2024 14:09:31"
"defragsvc","Optimise drives","Stopped","Manual","04-22-2024 14:09:31"
"DeviceAssociationBrokerSvc_94919","DeviceAssociationBroker_94919","Stopped","Manual","04-22-2024 14:09:31"
"DeviceAssociationService","Device Association Service","Running","Manual","04-22-2024 14:09:31"
"DeviceInstall","Device Install Service","Stopped","Manual","04-22-2024 14:09:31"
"DevicePickerUserSvc_94919","DevicePicker_94919","Stopped","Manual","04-22-2024 14:09:31"
"DevicesFlowUserSvc_94919","DevicesFlow_94919","Stopped","Manual","04-22-2024 14:09:31"
"DevQueryBroker","DevQuery Background Discovery Broker","Running","Manual","04-22-2024 14:09:31"
"Dhcp","DHCP Client","Running","Automatic","04-22-2024 14:09:31"
"diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service","Stopped","Manual","04-22-2024 14:09:31"
"diagsvc","Diagnostic Execution Service","Stopped","Manual","04-22-2024 14:09:31"
"DiagTrack","Connected User Experiences and Telemetry","Running","Automatic","04-22-2024 14:09:31"
"DispBrokerDesktopSvc","Display Policy Service","Running","Automatic","04-22-2024 14:09:31"
"DisplayEnhancementService","Display Enhancement Service","Running","Manual","04-22-2024 14:09:31"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual","04-22-2024 14:09:31"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","Manual","04-22-2024 14:09:31"
"Dnscache","DNS Client","Running","Automatic","04-22-2024 14:09:31"
"DoSvc","Delivery Optimization","Stopped","Automatic","04-22-2024 14:09:31"
"dot3svc","Wired AutoConfig","Stopped","Manual","04-22-2024 14:09:31"
"DPS","Diagnostic Policy Service","Running","Automatic","04-22-2024 14:09:31"
"DsmSvc","Device Setup Manager","Stopped","Manual","04-22-2024 14:09:31"
"DsSvc","Data Sharing Service","Stopped","Manual","04-22-2024 14:09:31"
"DusmSvc","Data Usage","Running","Automatic","04-22-2024 14:09:31"
"Eaphost","Extensible Authentication Protocol","Stopped","Manual","04-22-2024 14:09:31"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Automatic","04-22-2024 14:09:31"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual","04-22-2024 14:09:31"
"EFS","Encrypting File System (EFS)","Running","Manual","04-22-2024 14:09:31"
"embeddedmode","Embedded Mode","Stopped","Manual","04-22-2024 14:09:31"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual","04-22-2024 14:09:31"
"esifsvc","Intel(R) Dynamic Tuning service","Running","Automatic","04-22-2024 14:09:31"
